date,funding_rate,long_liquidations,short_liquidations,open_interest,long_short_ratio,etf_flow
2024-01-05,0.008264333333333334,0.0,0.0,19448737096.0,1.174,
2024-01-06,0.007542666666666666,0.0,0.0,19113013718.0,1.222,
2024-01-07,0.007892666666666668,0.0,0.0,19223405512.0,1.239,
2024-01-08,0.012081333333333333,0.0,0.0,19369579076.0,1.157,
2024-01-09,0.01213,0.0,0.0,21078177325.0,0.79,
2024-01-10,0.011395999999999998,0.0,0.0,20789721693.0,1.163,
2024-01-11,0.011375666666666666,0.0,0.0,21147626957.0,1.608,655300000.0
2024-01-12,0.010310666666666668,0.0,0.0,21681612042.0,1.711,203000000.0
2024-01-13,0.007819000000000001,0.0,0.0,20474671912.0,2.701,
2024-01-14,0.009372333333333333,0.0,0.0,19650522175.0,2.833,
2024-01-15,0.010632333333333334,0.0,0.0,19398689976.0,2.654,0.0
2024-01-16,0.009677,0.0,0.0,19268205589.0,2.617,-52700000.0
2024-01-17,0.010032666666666667,0.0,0.0,19480127232.0,2.156,453800000.0
2024-01-18,0.011832666666666667,0.0,0.0,19351696566.0,2.512,-126600000.0
2024-01-19,0.011369333333333334,0.0,0.0,19032788954.0,2.906,43600000.0
2024-01-20,0.009822666666666667,0.0,0.0,18814107191.0,2.441,
2024-01-21,0.009691666666666666,0.0,0.0,18708952822.0,2.361,
2024-01-22,0.009955333333333333,0.0,0.0,18533327503.0,2.394,-87400000.0
2024-01-23,0.010642666666666667,0.0,0.0,18040041002.0,2.619,-106100000.0
2024-01-24,0.010504,0.0,0.0,17952497121.0,2.352,-158300000.0
2024-01-25,0.010715999999999998,0.0,0.0,18240229169.0,2.108,-79800000.0
2024-01-26,0.009714,0.0,0.0,18273622462.0,2.031,14800000.0
2024-01-27,0.008524666666666667,0.0,0.0,18805094756.0,1.462,
2024-01-28,0.008076999999999999,0.0,0.0,18925383551.0,1.501,
2024-01-29,0.009147666666666667,0.0,0.0,18606691288.0,1.567,255100000.0
2024-01-30,0.006779333333333334,0.0,0.0,19297850449.0,1.336,247300000.0
2024-01-31,0.008645,0.0,0.0,19035794576.0,1.185,197600000.0
2024-02-01,0.008619333333333333,0.0,0.0,18208183800.0,1.418,38500000.0
2024-02-02,0.009206333333333332,0.0,0.0,18475351297.0,1.375,80000000.0
2024-02-03,0.007938333333333334,0.0,0.0,18421180007.0,1.302,
2024-02-04,0.007646666666666667,0.0,0.0,18346263327.0,1.339,
